Week;Nehodovost;Ap;
1.tyzden.2014;148;9.375000
2.tyzden.2014;195;5.500000
3.tyzden.2014;216;3.517857
4.tyzden.2014;241;5.964286
5.tyzden.2014;249;3.357143
6.tyzden.2014;200;9.535714
7.tyzden.2014;228;7.714286
8.tyzden.2014;222;18.678571
9.tyzden.2014;196;7.375000
10.tyzden.2014;228;4.125000
11.tyzden.2014;234;4.500000
12.tyzden.2014;253;4.839286
13.tyzden.2014;211;5.892857
14.tyzden.2014;219;5.339286
15.tyzden.2014;250;8.660714
16.tyzden.2014;245;9.482143
17.tyzden.2014;224;7.589286
18.tyzden.2014;256;6.964286
19.tyzden.2014;256;8.142857
20.tyzden.2014;260;4.089286
21.tyzden.2014;310;5.875000
22.tyzden.2014;247;4.196429
23.tyzden.2014;276;10.982143
24.tyzden.2014;268;4.750000
25.tyzden.2014;245;7.482143
26.tyzden.2014;281;4.517857
27.tyzden.2014;248;3.750000
28.tyzden.2014;260;5.535714
29.tyzden.2014;281;3.964286
30.tyzden.2014;263;4.535714
31.tyzden.2014;238;6.178571
32.tyzden.2014;250;6.857143
33.tyzden.2014;246;5.357143
34.tyzden.2014;248;6.017857
35.tyzden.2014;255;12.571429
36.tyzden.2014;220;8.017857
37.tyzden.2014;250;11.267857
38.tyzden.2014;236;7.285714
39.tyzden.2014;247;12.250000
40.tyzden.2014;303;7.464286
41.tyzden.2014;279;6.928571
42.tyzden.2014;304;9.946429
43.tyzden.2014;298;12.696429
44.tyzden.2014;259;7.785714
45.tyzden.2014;253;10.375000
46.tyzden.2014;260;12.928571
47.tyzden.2014;253;9.428571
48.tyzden.2014;234;5.178571
49.tyzden.2014;276;11.750000
50.tyzden.2014;273;10.964286
51.tyzden.2014;323;8.285714
52.tyzden.2014;305;13.150000
1.tyzden.2015;103;11.937500
2.tyzden.2015;103;13.857143
3.tyzden.2015;259;5.928571
4.tyzden.2015;217;6.714286
5.tyzden.2015;240;11.482143
6.tyzden.2015;205;12.303571
7.tyzden.2015;239;4.678571
8.tyzden.2015;220;10.285714
9.tyzden.2015;181;13.178571
10.tyzden.2015;206;13.321429
11.tyzden.2015;225;6.160714
12.tyzden.2015;221;35.642857
13.tyzden.2015;236;10.803571
14.tyzden.2015;211;8.803571
15.tyzden.2015;213;10.857143
16.tyzden.2015;240;18.321429
17.tyzden.2015;257;7.410714
18.tyzden.2015;230;5.250000
19.tyzden.2015;220;8.821429
20.tyzden.2015;251;14.017857
21.tyzden.2015;256;6.410714
22.tyzden.2015;287;4.642857
23.tyzden.2015;310;3.642857
24.tyzden.2015;282;14.446429
25.tyzden.2015;258;7.553571
26.tyzden.2015;256;29.339286
27.tyzden.2015;273;8.375000
28.tyzden.2015;246;9.339286
29.tyzden.2015;275;8.375000
30.tyzden.2015;284;7.946429
31.tyzden.2015;235;9.107143
32.tyzden.2015;266;9.375000
33.tyzden.2015;269;15.089286
34.tyzden.2015;295;13.982143
35.tyzden.2015;272;21.500000
36.tyzden.2015;276;9.642857
37.tyzden.2015;269;32.392857
38.tyzden.2015;264;17.571429
39.tyzden.2015;285;7.196429
40.tyzden.2015;285;8.464286
41.tyzden.2015;261;29.410714
42.tyzden.2015;296;15.625000
43.tyzden.2015;274;6.714286
44.tyzden.2015;287;4.571429
45.tyzden.2015;279;20.821429
46.tyzden.2015;285;16.660714
47.tyzden.2015;260;7.267857
48.tyzden.2015;283;3.303571
49.tyzden.2015;284;11.678571
50.tyzden.2015;292;13.750000
51.tyzden.2015;302;19.089286
52.tyzden.2015;349;13.500000
1.tyzden.2016;241;10.337500
2.tyzden.2016;251;7.982143
3.tyzden.2016;235;15.232143
4.tyzden.2016;228;3.714286
5.tyzden.2016;219;7.428571
6.tyzden.2016;241;9.232143
7.tyzden.2016;239;19.125000
8.tyzden.2016;191;4.553571
9.tyzden.2016;208;8.839286
10.tyzden.2016;210;10.875000
11.tyzden.2016;235;15.821429
12.tyzden.2016;207;6.482143
13.tyzden.2016;175;10.357143
14.tyzden.2016;239;7.178571
15.tyzden.2016;257;15.142857
16.tyzden.2016;246;6.785714
17.tyzden.2016;236;6.589286
18.tyzden.2016;245;20.321429
19.tyzden.2016;269;11.214286
20.tyzden.2016;218;9.178571
21.tyzden.2016;277;5.910714
22.tyzden.2016;260;8.857143
23.tyzden.2016;289;9.285714
24.tyzden.2016;294;9.357143
25.tyzden.2016;302;8.339286
26.tyzden.2016;293;6.267857
27.tyzden.2016;256;10.428571
28.tyzden.2016;277;9.714286
29.tyzden.2016;236;9.125000
30.tyzden.2016;255;8.428571
31.tyzden.2016;251;15.357143
32.tyzden.2016;277;8.982143
33.tyzden.2016;274;5.089286
34.tyzden.2016;281;9.017857
35.tyzden.2016;231;22.142857
36.tyzden.2016;318;9.017857
37.tyzden.2016;299;4.625000
38.tyzden.2016;277;9.535714
39.tyzden.2016;246;25.875000
40.tyzden.2016;253;9.892857
41.tyzden.2016;252;15.892857
42.tyzden.2016;293;7.232143
43.tyzden.2016;260;28.857143
44.tyzden.2016;233;8.500000
45.tyzden.2016;275;10.839286
46.tyzden.2016;281;4.160714
47.tyzden.2016;280;13.750000
48.tyzden.2016;279;3.250000
49.tyzden.2016;300;13.357143
50.tyzden.2016;284;4.053571
51.tyzden.2016;275;15.107143
52.tyzden.2016;194;9.145833
