Week;Nehodovost;AL;
20.tyzden.2015;251;-193.880952
21.tyzden.2015;256;-64.934524
22.tyzden.2015;287;-53.863096
23.tyzden.2015;310;-45.857143
24.tyzden.2015;282;-178.601190
25.tyzden.2015;258;-119.946429
26.tyzden.2015;256;-217.904762
27.tyzden.2015;273;-86.065476
28.tyzden.2015;246;-115.583333
29.tyzden.2015;275;-118.946429
30.tyzden.2015;284;-115.077381
31.tyzden.2015;235;-123.029762
32.tyzden.2015;266;-127.773810
33.tyzden.2015;269;-186.904762
34.tyzden.2015;295;-194.142857
35.tyzden.2015;272;-242.875000
36.tyzden.2015;276;-122.601190
37.tyzden.2015;269;-297.994048
38.tyzden.2015;264;-200.690476
39.tyzden.2015;285;-75.101191
40.tyzden.2015;285;-153.827381
41.tyzden.2015;261;-335.517857
42.tyzden.2015;296;-211.636905
43.tyzden.2015;274;-76.845238
44.tyzden.2015;287;-69.964286
45.tyzden.2015;279;-246.880952
46.tyzden.2015;285;-231.190476
47.tyzden.2015;260;-97.291667
48.tyzden.2015;283;-46.720238
49.tyzden.2015;284;-157.821429
50.tyzden.2015;292;-162.190476
51.tyzden.2015;302;-170.428572
52.tyzden.2015;349;-121.515152
