Week;Zraneni;AU;
1.tyzden.2010;24;9.462963
2.tyzden.2010;19;22.041667
3.tyzden.2010;26;19.696428
4.tyzden.2010;20;15.964286
5.tyzden.2010;21;37.113095
6.tyzden.2010;23;37.970238
7.tyzden.2010;21;47.583333
8.tyzden.2010;27;20.136905
9.tyzden.2010;22;33.196428
10.tyzden.2010;21;42.220238
11.tyzden.2010;24;28.744048
12.tyzden.2010;20;21.827381
13.tyzden.2010;13;59.297619
14.tyzden.2010;25;101.595238
15.tyzden.2010;18;47.446429
16.tyzden.2010;18;48.142857
17.tyzden.2010;30;33.386905
18.tyzden.2010;19;92.601191
19.tyzden.2010;27;28.369048
20.tyzden.2010;20;56.732143
21.tyzden.2010;25;72.357143
22.tyzden.2010;34;105.380952
23.tyzden.2010;36;44.136905
24.tyzden.2010;23;70.107143
25.tyzden.2010;18;48.339286
26.tyzden.2010;32;80.339286
27.tyzden.2010;23;36.273810
28.tyzden.2010;32;46.714286
29.tyzden.2010;23;35.952381
30.tyzden.2010;23;74.095238
31.tyzden.2010;26;73.684524
32.tyzden.2010;32;48.273810
33.tyzden.2010;15;36.422619
34.tyzden.2010;30;60.160714
35.tyzden.2010;27;24.315476
36.tyzden.2010;25;44.898810
37.tyzden.2010;31;40.886905
38.tyzden.2010;27;35.029762
39.tyzden.2010;17;22.702381
40.tyzden.2010;24;27.285714
41.tyzden.2010;22;48.136905
42.tyzden.2010;20;52.351190
43.tyzden.2010;31;32.386905
44.tyzden.2010;28;23.369048
45.tyzden.2010;29;39.988095
46.tyzden.2010;23;32.505952
47.tyzden.2010;19;33.333333
48.tyzden.2010;14;21.767857
49.tyzden.2010;28;19.226191
50.tyzden.2010;22;39.678571
51.tyzden.2010;23;28.732143
52.tyzden.2010;21;22.187500
1.tyzden.2011;11;40.263889
2.tyzden.2011;12;47.958333
3.tyzden.2011;13;33.982143
4.tyzden.2011;19;31.892857
5.tyzden.2011;10;58.702381
6.tyzden.2011;11;29.184524
7.tyzden.2011;9;45.392857
8.tyzden.2011;11;24.720238
9.tyzden.2011;18;70.738095
10.tyzden.2011;14;101.744048
11.tyzden.2011;12;20.922619
12.tyzden.2011;16;30.142857
13.tyzden.2011;24;58.363095
14.tyzden.2011;14;81.946428
15.tyzden.2011;13;54.136905
16.tyzden.2011;18;50.434524
17.tyzden.2011;16;72.708333
18.tyzden.2011;20;65.583333
19.tyzden.2011;17;48.958333
20.tyzden.2011;23;49.297619
21.tyzden.2011;23;99.815476
22.tyzden.2011;30;96.916666
23.tyzden.2011;21;94.619048
24.tyzden.2011;23;62.178571
25.tyzden.2011;20;106.166667
26.tyzden.2011;31;65.267857
27.tyzden.2011;19;102.863095
28.tyzden.2011;27;72.767857
29.tyzden.2011;19;92.315476
30.tyzden.2011;15;60.190476
31.tyzden.2011;13;70.619048
32.tyzden.2011;20;55.297619
33.tyzden.2011;31;40.988095
34.tyzden.2011;14;41.761905
35.tyzden.2011;20;49.982143
36.tyzden.2011;28;79.184524
37.tyzden.2011;23;72.654762
38.tyzden.2011;19;23.464286
39.tyzden.2011;19;81.005952
40.tyzden.2011;22;55.577381
41.tyzden.2011;15;28.946429
42.tyzden.2011;25;27.851191
43.tyzden.2011;14;31.875000
44.tyzden.2011;19;49.488095
45.tyzden.2011;20;17.214286
46.tyzden.2011;20;16.642857
47.tyzden.2011;21;44.666667
48.tyzden.2011;28;40.095238
49.tyzden.2011;22;22.011905
50.tyzden.2011;26;14.309524
51.tyzden.2011;27;26.476190
52.tyzden.2011;9;25.826389
1.tyzden.2012;12;37.218750
2.tyzden.2012;21;34.053571
3.tyzden.2012;21;52.488095
4.tyzden.2012;16;79.125000
5.tyzden.2012;11;52.517857
6.tyzden.2012;7;53.732143
7.tyzden.2012;15;78.666667
8.tyzden.2012;18;51.744047
9.tyzden.2012;14;95.720238
10.tyzden.2012;14;137.559524
11.tyzden.2012;9;121.065476
12.tyzden.2012;13;52.946429
13.tyzden.2012;11;72.946428
14.tyzden.2012;11;79.785714
15.tyzden.2012;16;65.250000
16.tyzden.2012;17;80.934524
17.tyzden.2012;17;113.053571
18.tyzden.2012;27;49.011905
19.tyzden.2012;29;107.386905
20.tyzden.2012;12;73.505952
21.tyzden.2012;22;86.815476
22.tyzden.2012;16;79.880952
23.tyzden.2012;20;106.339286
24.tyzden.2012;20;120.851191
25.tyzden.2012;24;59.416667
26.tyzden.2012;14;111.333333
27.tyzden.2012;9;102.178572
28.tyzden.2012;13;182.505952
29.tyzden.2012;12;114.601190
30.tyzden.2012;18;75.839286
31.tyzden.2012;14;84.047619
32.tyzden.2012;22;81.125000
33.tyzden.2012;29;82.970238
34.tyzden.2012;28;78.982143
35.tyzden.2012;14;64.202381
36.tyzden.2012;17;131.821429
37.tyzden.2012;20;36.041667
38.tyzden.2012;22;53.767857
39.tyzden.2012;18;32.452381
40.tyzden.2012;26;44.761905
41.tyzden.2012;22;103.422619
42.tyzden.2012;32;31.148810
43.tyzden.2012;6;23.809524
44.tyzden.2012;23;38.636905
45.tyzden.2012;13;24.744048
46.tyzden.2012;18;34.839286
47.tyzden.2012;22;46.750000
48.tyzden.2012;20;20.369048
49.tyzden.2012;27;17.166666
50.tyzden.2012;17;26.261905
51.tyzden.2012;14;23.761905
52.tyzden.2012;20;16.026042
