Week;Nehodovost;Temperature;
46.tyzden.2012;263;84463.541667
47.tyzden.2012;299;69723.041667
48.tyzden.2012;251;37521.410714
49.tyzden.2012;344;45815.880952
50.tyzden.2012;344;48919.672619
51.tyzden.2012;342;83263.904762
52.tyzden.2012;208;42918.750000
1.tyzden.2013;185;33846.590278
2.tyzden.2013;254;61105.446428
3.tyzden.2013;259;77879.565476
4.tyzden.2013;231;67729.696429
5.tyzden.2013;271;69885.000000
6.tyzden.2013;276;56372.755952
7.tyzden.2013;242;39739.470238
8.tyzden.2013;226;62192.952381
9.tyzden.2013;210;94041.702381
10.tyzden.2013;202;37259.375000
11.tyzden.2013;263;79724.160714
12.tyzden.2013;230;62798.607143
13.tyzden.2013;272;117779.797619
14.tyzden.2013;160;33664.369048
15.tyzden.2013;232;68725.089286
16.tyzden.2013;252;26985.785714
17.tyzden.2013;253;95949.809524
18.tyzden.2013;230;68184.226191
19.tyzden.2013;249;90774.059524
20.tyzden.2013;243;57628.303572
21.tyzden.2013;240;126406.113095
22.tyzden.2013;238;192562.886905
23.tyzden.2013;241;77088.892857
24.tyzden.2013;298;47926.255952
25.tyzden.2013;325;131932.553571
26.tyzden.2013;242;89253.422619
27.tyzden.2013;275;44099.029762
28.tyzden.2013;252;55405.755952
29.tyzden.2013;274;85794.005952
30.tyzden.2013;270;90333.755953
31.tyzden.2013;249;59572.166666
32.tyzden.2013;296;97341.916667
33.tyzden.2013;261;144892.190476
34.tyzden.2013;256;76607.160714
35.tyzden.2013;249;81609.303572
36.tyzden.2013;278;73921.398810
37.tyzden.2013;262;88334.517857
38.tyzden.2013;281;85524.321429
39.tyzden.2013;264;42650.041666
40.tyzden.2013;242;59773.047619
41.tyzden.2013;269;45523.714286
42.tyzden.2013;278;75322.000000
43.tyzden.2013;277;36664.976190
44.tyzden.2013;236;62668.279762
45.tyzden.2013;276;87518.994048
46.tyzden.2013;268;83860.244047
47.tyzden.2013;308;58308.994048
48.tyzden.2013;258;56808.357143
49.tyzden.2013;311;90249.851190
50.tyzden.2013;247;74590.928571
51.tyzden.2013;303;42248.196428
52.tyzden.2013;280;44976.250000
